ID;1.1 Ballon;1.2 Wüste;1.3 Strand;2.1 Giraffe;2.2 Hund;2.3 Katze;3.1 Mercedes;3.2 Lambo;3.3 Beetle;4.1 Kuchen;4.2 Bowl;4.3 Burger;Geschlecht;Alter;Beruf;Nach_Fr_01;Nach_Fr_02;Nach_Fr_03;Nach_Fr_04;BE02_01;BE02_02;BE02_03;BE03_01;BE03_02;BE03_03;BE05_01;BE05_02;BE05_03;BE07_01;BE07_02;BE07_03;BE08_01;BE08_02;BE08_03;BE09_01;BE09_02;BE09_03;BE16_01;BE16_02;BE16_03;BE17_01;BE17_02;BE17_03;BE18_01;BE18_02;BE18_03;BE19_01;BE19_02;BE19_03;BE20_01;BE20_02;BE20_03;BE21_01;BE21_02;BE21_03;BE04_01;BE04_02;BE04_03;BE10_01;BE10_02;BE10_03;BE11_01;BE11_02;BE11_03;BE12_01;BE12_02;BE12_03;BE14_01;BE14_02;BE14_03;BE15_01;BE15_02;BE15_03;BE23_01;BE23_02;BE23_03;BE24_01;BE24_02;BE24_03;BE22_01;BE22_02;BE22_03;;BE25_01;BE25_02;BE25_03;BE25_07;BE25_05;BE25_04;BE25_06
288;1;1;3;1;2;3;1;2;2;1;2;1;2;52;4;1;1;3;4;3;4;1;3;4;3;1;1;1;1;2;1;1;1;1;1;1;1;4;4;3;4;4;4;4;4;4;3;4;2;4;4;3;1;2;2;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;2;4;1;;5;4;5;5;5;5;5
291;3;1;1;2;2;3;1;1;2;2;2;1;1;56;4;2;2;4;5;3;2;2;3;2;2;2;2;1;3;3;2;2;2;1;3;2;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;2;4;4;4;2;2;2;3;3;3;4;4;4;4;4;4;2;2;2;3;3;2;2;2;2;3;2;2;;4;2;3;3;5;5;4
293;1;1;2;1;3;1;2;2;1;1;3;1;2;24;7;3;3;4;5;3;3;2;5;4;5;3;4;2;5;4;2;2;2;2;2;3;1;4;5;5;5;4;4;2;2;1;1;1;2;2;2;2;1;1;1;2;3;3;1;3;3;3;3;3;;3;2;4;3;;;3;3;2;4;1;2;1;1;4;2;2;;5;4;4;5;5;4;3
294;2;1;2;1;1;2;1;2;3;2;2;2;2;25;4;3;4;4;5;5;5;2;5;5;2;5;5;2;5;5;2;5;5;2;5;5;2;5;5;2;5;5;2;5;5;2;5;5;1;5;5;1;5;5;1;5;5;2;5;5;2;5;5;2;5;5;2;5;5;2;5;5;1;5;5;2;5;5;1;5;5;1;;5;5;4;5;5;5;4
296;2;3;3;1;2;1;1;2;2;1;3;3;2;66;6;5;4;4;3;1;1;2;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;2;2;2;3;3;3;3;3;3;2;2;2;2;2;2;3;3;3;2;2;2;4;4;4;3;3;4;4;4;4;;2;4;5;5;4;4;4
299;3;3;3;1;2;1;3;2;2;3;2;1;2;27;4;3;4;5;4;4;2;2;4;2;2;2;2;2;4;2;2;3;2;2;2;2;2;4;2;2;3;4;4;3;4;4;4;2;2;4;2;2;4;2;2;4;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;3;3;2;2;2;2;2;2;;5;5;4;4;4;4;4
302;2;1;3;1;1;1;1;3;1;1;1;1;1;25;4;1;3;5;5;4;4;2;5;5;4;4;5;3;5;5;3;5;4;3;5;4;2;5;4;4;4;4;4;4;4;4;2;2;2;2;4;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;;4;5;4;5;5;4;5
303;2;1;3;1;1;1;1;1;2;3;1;1;2;25;3;3;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;2;;1;1;4;1;1
310;2;3;2;3;3;1;1;1;2;2;2;3;2;24;4;3;4;5;5;4;4;4;4;4;4;5;5;5;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;5;4;3;4;4;4;4
318;2;1;3;2;2;2;2;1;1;3;3;1;2;54;4;2;2;5;4;4;4;4;4;4;4;2;4;2;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;2;4;2;2;4;2;1;1;1;1;2;3;2;1;3;1;4;2;1;4;4;2;2;4;2;4;2;2;;5;4;5;5;5;5;5
322;2;1;2;1;3;3;1;2;1;1;1;1;2;27;4;3;3;4;5;5;5;1;5;5;1;5;5;1;5;5;1;5;5;1;5;5;1;5;5;1;5;5;1;5;5;5;5;5;4;5;5;5;5;5;3;5;5;1;5;5;1;5;5;1;5;5;1;5;5;1;5;5;1;5;5;1;5;5;1;5;5;1;;3;5;4;5;5;5;3
327;2;1;2;1;1;3;3;1;2;1;2;1;2;24;4;3;4;4;4;3;2;2;4;2;3;2;3;2;3;2;3;2;2;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;;5;5;5;5;5;4;5
328;1;1;3;1;3;1;1;2;2;1;1;1;2;64;4;3;3;4;5;5;5;5;5;5;5;5;5;5;3;4;4;5;5;5;2;3;2;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;2;3;2;2;3;2;3;3;3;4;5;4;5;5;5;5;4;4;;5;5;5;3;5;5;3
329;1;1;3;1;2;1;3;2;1;2;1;1;2;20;4;1;2;4;5;4;4;4;4;4;4;4;4;3;5;4;4;5;5;5;3;3;3;2;2;1;2;2;2;3;3;3;1;1;1;2;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;;4;4;4;5;5;1;3
330;2;2;3;1;1;3;1;3;2;2;3;1;1;24;4;3;3;4;4;3;4;4;4;3;4;2;3;3;1;2;2;1;1;;1;1;1;5;5;5;5;5;5;5;5;5;1;1;1;2;2;2;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;3;2;1;1;;1;1;;;4;2;4;5;5;5;5
345;2;3;3;3;2;2;1;2;2;2;3;1;1;54;6;3;4;2;5;4;3;2;4;4;4;4;3;2;4;4;2;2;2;1;4;3;2;4;3;4;3;4;4;4;4;4;2;2;2;4;4;4;3;2;2;4;2;2;2;2;2;2;2;2;4;2;2;2;2;2;3;3;2;3;3;3;2;2;2;3;3;2;;5;4;4;5;5;5;4
348;1;1;2;1;1;1;1;3;1;1;1;1;1;26;3;2;2;4;5;5;5;5;5;3;5;4;4;3;5;5;4;4;4;4;4;4;3;5;4;2;5;4;2;5;4;2;3;3;2;4;3;2;;2;2;3;3;1;3;3;1;2;2;1;;;1;;;1;;;1;3;2;1;3;2;1;3;2;1;;4;5;4;4;4;5;4
349;2;3;2;1;3;3;1;3;1;1;2;2;2;40;4;2;3;3;4;5;5;3;5;5;3;5;5;1;5;5;2;5;5;3;1;5;1;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;3;4;5;1;3;5;1;5;5;2;3;5;1;4;5;1;3;5;1;5;5;2;5;5;2;5;5;2;;5;5;5;5;5;5;4
350;2;2;1;1;3;3;1;3;1;1;2;2;2;39;4;2;3;4;5;4;3;2;4;3;2;4;3;2;5;3;2;4;3;2;4;3;2;5;5;5;5;5;5;5;5;5;4;3;2;4;3;2;4;3;2;4;3;2;4;3;2;4;3;2;4;3;2;4;3;2;4;3;2;4;4;2;4;3;2;4;3;2;;5;4;5;5;5;5;3
367;2;3;3;1;1;1;3;1;1;2;1;1;2;26;4;3;4;5;5;3;4;2;5;4;4;3;5;3;4;5;5;4;5;3;3;4;4;5;5;5;5;5;5;5;4;4;3;5;2;5;5;5;2;4;2;2;3;2;3;5;3;3;5;2;4;5;4;3;2;1;3;2;2;3;5;2;3;4;2;3;3;3;;4;4;3;5;4;5;2
370;1;1;3;1;3;1;3;1;3;2;2;1;1;34;4;2;2;4;5;3;3;3;3;3;3;4;4;2;3;3;3;3;3;3;2;3;1;3;3;3;3;3;3;3;3;3;3;3;2;3;3;2;3;3;2;3;3;1;3;3;1;3;3;1;3;3;1;3;3;1;3;3;1;3;3;1;3;3;1;3;3;1;;5;4;5;5;5;2;5
372;2;1;2;1;2;1;1;2;2;2;2;3;1;26;4;4;3;2;5;4;4;2;4;4;4;3;4;3;3;3;2;2;2;1;1;1;1;5;5;5;5;5;5;5;5;5;2;2;2;2;3;3;3;3;3;3;2;1;2;2;2;2;3;2;1;1;1;1;1;1;1;1;1;3;3;3;1;1;1;2;1;1;;5;4;3;5;5;5;5
380;2;2;2;3;2;3;3;3;2;2;2;1;1;24;3;3;4;2;5;5;5;5;5;5;5;5;5;4;4;4;2;5;5;4;4;4;3;4;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;2;2;1;2;2;1;2;1;1;2;1;1;1;1;1;1;1;1;3;3;3;2;2;2;2;2;2;;5;5;4;5;5;5;4
384;2;2;3;1;1;2;1;1;2;3;3;1;2;36;4;4;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;3;2;4;4;4;4;4;4;2;3;2;4;2;5;3;2;2;2;;2;2;2;2;2;2;2;4;3;4;5;5;5;5;5;5;;5;5;2;2;5;4;3
385;2;3;3;1;2;3;1;1;2;3;2;3;1;28;3;1;2;2;5;4;4;4;4;4;4;2;3;2;5;4;4;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;;4;5;4;4;5;5;4
387;2;1;3;2;2;2;3;3;2;1;3;2;2;57;5;3;4;4;5;3;4;1;3;3;1;2;3;1;3;4;1;3;4;1;3;3;1;4;4;4;4;4;4;4;4;4;3;3;1;3;3;2;3;3;2;4;2;2;2;3;2;2;3;2;3;3;2;3;3;2;4;3;2;3;3;1;3;3;1;3;3;1;;4;4;4;4;5;5;5
389;2;1;3;1;2;2;1;3;2;2;3;2;1;61;4;2;2;3;5;3;1;1;3;3;3;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;;4;4;5;5;5;5;5
390;2;2;3;1;3;3;1;2;1;2;2;1;2;21;3;3;2;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;;5;2;5;5;5;5;2
392;2;1;3;1;3;3;2;1;1;3;3;1;2;33;4;3;3;5;5;5;5;2;4;4;1;5;5;1;5;5;2;4;4;1;3;5;1;5;5;4;5;5;4;5;5;4;4;2;1;2;2;2;3;3;3;2;3;1;2;3;1;2;2;1;1;2;1;2;2;1;2;1;1;5;5;2;4;4;2;4;4;1;;5;5;4;5;5;5;3
394;1;3;2;1;3;3;3;1;3;2;1;1;2;23;4;3;4;5;4;3;4;3;5;4;3;3;4;3;3;4;3;3;4;3;1;4;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;3;4;1;1;1;1;1;3;1;1;3;1;1;3;1;1;3;1;1;1;1;1;3;1;1;3;1;1;;5;4;2;4;5;3;4
395;2;1;3;3;1;1;1;1;2;1;1;2;2;28;3;4;3;4;5;5;5;4;5;5;4;5;5;4;5;5;4;5;5;4;5;5;4;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;4;5;5;3;5;5;3;5;5;2;5;5;3;5;5;2;5;5;3;5;5;5;5;5;5;5;5;5;;4;5;2;3;4;5;3
396;1;1;1;1;3;1;1;3;1;2;1;1;1;25;3;3;2;4;5;;1;1;1;1;1;1; ;1;3;1;1;3;1;1;1;1;1;4;3;1;5;1;1;5;3;1;3;1;1;5;3;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;5;1;5;5;5;;5
397;1;2;1;2;1;1;1;1;1;1;1;1;1;65;4;2;2;4;4;4;4;3;4;4;3;3;3;2;4;4;2;2;3;1;4;3;2;5;4;5;5;4;5;5;4;5;2;1;2;2;2;2;1;1;1;;2;2;;2;2;1;1;1;;;2;2;2;2;;;;1;1;1;1;1;1;1;1;1;;5;5;4;5;5;5;5
398;3;1;1;1;3;1;1;2;1;2;2;2;2;26;3;2;3;5;5;4;4;2;4;4;4;4;4;2;4;4;2;4;4;4;4;4;2;5;5;5;5;5;5;5;5;5;2;4;2;2;4;2;2;4;2;;;1;1;;1;1;;1;2;;1;2;;1;1;2;1;;;;;;;;;;;5;5;4;5;5;5;5
406;2;1;3;1;1;2;2;1;1;3;1;1;2;26;3;4;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;1;1;1;1;1;1;1;2;1;1;1;1;3;3;3;3;3;2;3;3;2;;5;5;5;5;5;5;5
418;1;3;3;1;1;3;1;1;1;2;3;1;1;60;4;4;3;4;5;2;2;2;4;4;4;2;2;1;3;4;2;2;2;1;1;2;2;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;3;2;2;2;2;2;3;2;2;;;;;;;;;;;4;3;4;5;5;4;4
421;1;1;2;1;3;3;1;2;1;2;1;1;1;25;3;4;4;5;5;4;4;4;4;5;4;4;4;2;3;3;;2;3;2;2;2;2;5;5;5;5;5;5;5;5;5;1;1;1;3;3;2;3;4;2;;3;2;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;4;3;2;2;3;2;2;2;2;;5;4;4;5;5;2;
424;2;1;3;2;2;2;1;1;2;2;2;1;3;35;4;3;3;4;5;3;2;2;3;2;2;2;1;1;3;2;2;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;4;2;5;5;4;4;5
427;2;2;3;2;1;3;1;1;2;2;3;1;2;29;4;2;3;3;4;5;4;4;4;4;4;2;3;2;5;4;4;3;4;4;2;4;4;4;5;5;3;5;5;5;5;5;2;4;2;2;4;2;2;4;2;1;2;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;4;4;2;2;4;1;4;4;1;;4;4;4;5;3;5;4
433;1;1;3;2;3;1;3;1;2;3;3;3;2;58;4;3;3;4;5;4;4;4;4;2;2;2;3;2;2;2;2;3;3;2;2;2;2;4;5;5;5;5;5;5;5;5;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;;5;4;4;5;5;5;
